studentID,abi_note,abi_m_note,m_vertief,m_vorbereit,finanz_eltern,sprache,fachsem,sex,gebu,Zulassung,ProzentT1,NoteT1,ProzentT2,NoteT2,ProzentP,NoteP,bfi_ex,bfi_ve,bfi_ge,bfi_ne,bfi_of,iq,Ikont,Ekont,fw_pkt,Av,Iv,Se,Uv,Co,Pa,Na,aist_r,aist_i,aist_a,aist_s,aist_e,aist_c
student2,2.2,9.0,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.26,5.0,0.29,5.0,0.28,5.0,3.67,4.0,4.0,3.33,3.67,106,3.5,2.0,6,3.0,3.5,2.0,3.0,3.0,3.6,2.7,1.6,1.8,3.2,4.0,3.6,1.8
student20,1.3,1.3,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.56,3.3,0.56,3.3,0.56,3.3,4.33,4.67,4.33,2.67,4.0,123,5.0,2.0,11,3.25,4.0,2.25,3.75,1.83,4.1,1.9,1.6,3.0,2.2,3.4,4.6,2.6
student21,1.8,3.0,0.0,1,1,0,1.0,1.0,1997.0,,,,,,,,2.0,3.33,3.0,5.0,3.67,109,4.5,2.0,4,3.25,2.5,2.0,3.25,2.33,3.6,2.9,3.8,4.2,4.6,2.8,2.0,2.8
student22,1.1,15.0,1.0,2,1,0,1.0,1.0,1999.0,1.0,0.29,5.0,0.44,5.0,0.37,5.0,1.67,3.33,4.0,3.67,3.67,113,4.5,1.0,11,3.0,3.0,2.5,4.0,3.33,3.2,1.6,1.6,1.4,4.6,3.6,1.8,2.4
student23,2.2,1.75,0.0,0,1,0,1.0,1.0,1999.0,,,,,,,,4.0,3.67,3.33,2.0,3.67,127,4.0,2.5,7,2.5,3.5,2.25,3.5,2.17,4.1,1.8,2.8,4.2,1.8,4.4,3.4,1.8
student24,1.9,9.0,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.35,5.0,0.33,5.0,0.34,5.0,4.0,4.33,3.67,2.67,3.0,120,4.5,3.5,5,3.0,3.5,2.75,3.75,3.67,3.5,1.4,1.0,4.0,1.8,3.8,4.0,1.4
student25,2.0,1.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.55,3.3,0.45,4.0,0.5,3.7,3.33,3.0,3.0,4.0,3.67,127,3.0,1.0,9,2.75,3.0,2.67,2.25,2.2,3.9,2.9,1.8,4.8,3.6,2.2,2.4,2.6
student26,1.6,12.0,0.0,0,1,2,1.0,1.0,1998.0,1.0,0.25,5.0,0.59,3.3,0.42,5.0,3.33,2.0,2.33,3.67,4.67,123,3.5,2.0,12,3.33,3.0,2.67,2.67,2.67,3.4,3.5,2.6,4.4,4.0,3.0,2.0,2.4
student27,1.4,14.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.79,2.0,0.68,2.7,0.73,2.3,4.0,2.33,3.33,4.0,3.33,133,4.0,1.5,12,2.75,3.0,2.25,2.5,3.5,3.4,3.0,1.8,2.4,2.0,3.8,4.6,2.0
student28,3.1,3.0,0.0,1,1,1,1.0,1.0,1995.0,1.0,0.08,5.0,,,0.04,5.0,3.0,4.67,3.67,3.33,3.33,116,5.0,3.0,4,2.75,3.5,2.25,2.75,2.83,3.8,1.7,4.4,3.4,3.0,4.2,3.8,1.6
student29,1.0,1.0,0.0,0,1,0,1.0,,,1.0,0.93,1.0,0.71,2.3,0.82,1.7,4.0,3.67,4.67,2.67,4.0,113,,,14,2.75,3.0,2.25,3.0,2.17,,,3.4,4.6,2.0,2.4,4.2,2.2
